hpoID	hpoLabel	deltaZ	pValue	nGenes
HP:0011277	Abnormality of the urinary system physiology	-0.00463058521573	0.554157921208	691
HP:0000174	Abnormal palate morphology	0.000986861121558	0.904691238303	684
HP:0000505	Visual impairment	-0.000408354767571	0.959541300212	676
HP:0012210	Abnormal renal morphology	-0.00243155764631	0.766976432615	665
HP:0030791	Abnormal jaw morphology	-0.00251314101196	0.765054944294	658
HP:0000159	Abnormal lip morphology	-0.0118548456887	0.0621970463615	654
HP:0002683	Abnormality of the calvaria	-0.00626084795696	0.442081606838	667
HP:0002650	Scoliosis	-0.00311974370018	0.707800087482	653
HP:0001999	Abnormal facial shape	-0.00123442615967	0.884409792103	643
HP:0001290	Generalized hypotonia	-0.0115724300973	0.0318623687105	657
HP:0011354	Generalized abnormality of skin	0.00693377759944	0.388410306953	674
HP:0000549	Abnormal conjugate eye movement	-0.0119534942899	0.114001215981	662
HP:0004305	Involuntary movements	-0.0182017007872	9.05313797338e-06	641
HP:0002088	Abnormal lung morphology	-0.00468177490769	0.498769584433	659
HP:0000290	Abnormality of the forehead	-0.00542114952107	0.514104614997	655
HP:0001276	Hypertonia	-0.00848442534683	0.157287474965	654
HP:0000759	Abnormal peripheral nervous system morphology	-0.00262162583167	0.672969236929	648
HP:0000479	Abnormal retinal morphology	-0.0116663800443	0.0349225286058	648
HP:0100886	Abnormality of globe location	-0.00337343306882	0.690481400614	641
HP:0000422	Abnormality of the nasal bridge	-0.0155833387648	0.00625740134606	648
HP:0000359	Abnormality of the inner ear	-0.00977913973718	0.0428979104033	650
HP:0000035	Abnormal testis morphology	-0.00029636436468	0.971884725272	621
HP:0000486	Strabismus	-0.0126756561156	0.103962993373	640
HP:0005105	Abnormal nasal morphology	-0.0158370568579	0.0123355154813	641
HP:0001251	Ataxia	-0.0189756657696	8.56177860748e-06	630
HP:0001508	Failure to thrive	0.00220947988222	0.790953929365	650
HP:0001324	Muscle weakness	-0.00827895631646	0.0773397908487	634
HP:0000277	Abnormality of the mandible	-0.00149805359101	0.864280513965	630
HP:0002664	Neoplasm	0.0209473643546	0.0290071483002	644
HP:0011389	Functional abnormality of the inner ear	-0.0113178319342	0.0166471922895	637
HP:0000164	Abnormality of the dentition	-0.00148906732676	0.831647359223	614
HP:0010993	Abnormality of the cerebral subcortex	-0.011453139443	0.0352586207096	625
HP:0025142	Constitutional symptom	0.0200275316288	0.0383925848134	636
HP:0011355	Localized skin lesion	0.013066922857	0.169506168877	634
HP:0012647	Abnormal inflammatory response	0.00642462050223	0.388893793484	629
HP:0012649	Increased inflammatory response	0.00642462050223	0.388893793484	629
HP:0010938	Abnormality of the external nose	-0.0179720126504	0.00592737329905	625
HP:0011793	Neoplasm by anatomical site	0.0221388994154	0.0252680452273	620
HP:0012719	Functional abnormality of the gastrointestinal tract	0.00583050459275	0.541315719851	593
HP:0011282	Abnormality of hindbrain morphology	-0.0145644291497	0.000277745615516	576
HP:0011283	Abnormality of the metencephalon	-0.0145644291497	0.000277745615516	576
HP:0001317	Abnormal cerebellum morphology	-0.0143918995391	0.000349146239547	573
HP:0009122	Aplasia/hypoplasia affecting bones of the axial skeleton	0.00206353939977	0.826758135508	580
HP:0410042	Abnormal liver morphology	0.012252613649	0.203709551275	599
HP:0000407	Sensorineural hearing impairment	-0.012256455551	0.0123853709195	573
HP:0000587	Abnormality of the optic nerve	-0.014810572805	0.0111267965235	561
HP:0002648	Abnormality of calvarial morphology	-0.0068588330973	0.471184819924	560
HP:0002500	Abnormality of the cerebral white matter	-0.0111182298511	0.0543826173794	561
HP:0025015	Abnormal vascular morphology	0.00627148380773	0.492288888168	561
HP:0000517	Abnormality of the lens	0.00713939886369	0.464613742058	559
HP:0000765	Abnormality of the thorax	-0.00228918770704	0.721670015694	561
HP:0032101	Unusual infection	-0.00237267035984	0.79444957046	553
HP:0011968	Feeding difficulties	-0.0171455410136	0.000968926155361	546
HP:0000518	Cataract	0.00757936412126	0.449293359876	544
HP:0001257	Spasticity	-0.0133500739481	0.0245801818116	532
HP:0003330	Abnormal bone structure	0.00687556059075	0.491806759532	544
HP:0002719	Recurrent infections	-0.00105212575348	0.912022924451	528
HP:0000177	Abnormality of upper lip	-0.0119744218697	0.113881962932	515
HP:0002118	Abnormality of the cerebral ventricles	-0.00164935133954	0.867400530783	496
HP:0007367	Atrophy/Degeneration affecting the central nervous system	-0.0162052946867	0.000101969117891	511
HP:0001347	Hyperreflexia	-0.00845864059174	0.35578548593	510
HP:0009116	Aplasia/Hypoplasia involving bones of the skull	0.00223890612495	0.831408495131	516
HP:0100261	Abnormal tendon morphology	-0.010307393616	0.112389417422	498
HP:0008050	Abnormality of the palpebral fissures	-0.000496717210164	0.962378128484	502
HP:0000357	Abnormal location of ears	-0.0190197399785	3.70796033635e-05	509
HP:0009118	Aplasia/Hypoplasia of the mandible	0.00303704265559	0.776865599804	506
HP:0000036	Abnormality of the penis	0.00228022009867	0.82005578985	489
HP:0030236	Abnormality of muscle size	-0.00688012895582	0.233552455016	487
HP:0001438	Abnormality of abdomen morphology	0.0220692180119	0.0455854394043	519
HP:0000347	Micrognathia	0.00349626193633	0.746038298449	502
HP:0002242	Abnormal intestine morphology	0.0161190238263	0.170197844062	490
HP:0001371	Flexion contracture	-0.0109444126916	0.100332578509	481
HP:0040290	Abnormality of skeletal muscles	-0.00688482494488	0.238477690272	481
HP:0008373	Puberty and gonadal disorders	0.000786330335981	0.93971008281	487
HP:0001197	Abnormality of prenatal development or birth	-0.000283319669769	0.976895251792	509
HP:0000028	Cryptorchidism	-0.000801278991691	0.937885001375	471
HP:0000508	Ptosis	-0.00486551797843	0.654234177761	489
HP:0001273	Abnormal corpus callosum morphology	-0.0122266515877	0.0563536300783	484
HP:0000316	Hypertelorism	0.00394699308483	0.717621277511	478
HP:0000369	Low-set ears	-0.0182910623282	0.000113109825488	482
HP:0000481	Abnormal cornea morphology	0.00264307911728	0.795643257651	486
HP:0000377	Abnormality of the pinna	-0.00640792488243	0.417518160236	439
HP:0012795	Abnormality of the optic disc	-0.0260349317618	3.2517687182e-10	467
HP:0011849	Abnormal bone ossification	-0.000661212408017	0.947605365209	479
HP:0010936	Abnormality of the lower urinary tract	0.00368679062563	0.724961042516	458
HP:0009830	Peripheral neuropathy	-0.00845489342668	0.2060151723	456
HP:0040069	Abnormal lower limb bone morphology	0.00561606060615	0.623034921242	461
HP:0011314	Abnormality of long bone morphology	0.00353529010859	0.750764137433	468
HP:0410280	Pediatric onset	-0.0143176537385	0.00402775313317	469
HP:0003271	Visceromegaly	0.018164218361	0.108284469316	470
HP:0011843	Abnormality of skeletal physiology	0.000999222035791	0.872913507105	450
HP:0010460	Abnormality of the female genitalia	0.0160407921557	0.193677628448	466
HP:0100543	Cognitive impairment	0.00619146041609	0.429146293	451
HP:0012211	Abnormal renal physiology	-0.00230501142106	0.826414263418	450
HP:0012531	Pain	0.0262863355415	0.0380720128999	459
HP:0012444	Brain atrophy	-0.0174338210658	5.85381575461e-05	441
